region,employment_status,loan_purpose,home_ownership,annual_income,loan_amount,debt_to_income,credit_score,credit_utilization,past_due_count,credit_inquiries,months_since_last_delinquency,employment_years,account_age_months,num_open_accounts,loan_to_income,high_dti_flag,low_credit_score_flag,high_utilization_flag,recent_delinquency_flag,short_employment_flag,actual_default,predicted_pd,risk_segment
Ontario,Employed,Education,Mortgage,84307.29,21516.96,0.4325,725.0,0.4868,1,2,46.6,0.5,3.0,8,0.2552206339451784,0,0,0,0,1,0,0.017810476197423212,Medium Risk
Alberta,Employed,Debt consolidation,Other,56067.25,6977.95,0.248,702.0,0.6497,1,1,36.9,2.9,72.7,9,0.12445679072899063,0,0,0,0,0,0,0.03528638402309178,High Risk
British Columbia,Employed,Debt consolidation,Mortgage,48954.28,20292.22,0.0547,749.0,0.0254,1,2,10.4,2.0,180.5,6,0.4145137054410769,0,0,0,1,0,0,0.003429919755288957,Very Low Risk
Ontario,Employed,Home improvement,Rent,152266.06,32579.51,0.4411,728.0,0.3009,2,0,49.6,4.1,132.2,8,0.21396435949022388,0,0,0,0,0,0,0.009622690982519739,Very Low Risk
Quebec,Employed,Debt consolidation,Mortgage,70635.55,20987.19,0.1585,597.0,0.5433,0,1,85.0,4.4,14.8,3,0.2971193683633807,0,1,0,0,0,0,0.006246605632590812,Very Low Risk
British Columbia,Employed,Debt consolidation,Own,109241.05,27872.55,0.283,698.0,0.4042,0,0,8.1,2.0,32.6,7,0.25514721801007956,0,0,0,1,0,0,0.012198198660653954,Low Risk
British Columbia,Employed,Home improvement,Mortgage,68113.64,46442.66,0.3714,659.0,0.3266,1,1,7.6,1.3,3.0,5,0.681840817786276,0,0,0,1,1,0,0.023398625913249132,Medium Risk
Ontario,Part-time,Home improvement,Rent,112626.86,38513.23,0.2391,611.0,0.5631,0,1,17.7,3.4,217.2,9,0.3419542194464092,0,1,0,0,0,0,0.02784445370117157,Medium Risk
Quebec,Employed,Debt consolidation,Own,99763.63,38301.48,0.262,561.0,0.2688,0,1,,2.5,36.4,2,0.383922277086349,0,1,0,0,0,0,0.04178577137873806,High Risk
Ontario,Employed,Debt consolidation,Other,53110.37,17411.72,0.0931,660.0,0.2321,1,1,24.6,4.2,12.5,4,0.3278403068929853,0,0,0,0,0,0,0.01467911319277647,Low Risk
Ontario,Employed,Debt consolidation,Rent,51871.05,85000.0,0.12,696.0,0.5845,0,3,23.4,2.0,13.8,2,1.638678993388412,0,0,0,0,0,0,0.04088753814608034,High Risk
Alberta,Employed,Auto,Rent,96383.58,31162.6,0.1494,716.0,0.1398,1,3,56.7,20.8,29.0,6,0.32331855695752326,0,0,0,0,0,0,0.004277513406435408,Very Low Risk
Ontario,Part-time,Debt consolidation,Own,45305.8,27056.7,0.1119,466.0,0.6923,0,0,12.4,6.6,39.0,4,0.5972016827867513,0,1,0,0,0,0,0.043607530592294684,High Risk
Ontario,Part-time,Debt consolidation,Rent,42485.02,51792.91,0.3864,688.0,0.2769,1,0,3.3,0.9,67.9,15,1.2190863979821596,0,0,0,1,1,0,0.026094584564499,Medium Risk
Ontario,Self-employed,Debt consolidation,Mortgage,64338.07,41329.22,0.3237,819.0,0.4965,0,2,28.5,0.6,23.0,6,0.642375812640945,0,0,0,0,1,0,0.013293644444538302,Low Risk
Ontario,Employed,Home improvement,Rent,34860.74,48707.5,0.3042,734.0,0.5944,3,1,,5.1,71.8,7,1.3972021247971214,0,0,0,0,0,0,0.0369867615472911,High Risk
Ontario,Self-employed,Auto,Rent,98867.08,22173.36,0.1409,614.0,0.2764,0,5,31.8,1.5,45.2,6,0.22427445010007377,0,1,0,0,1,0,0.02484166271549778,Medium Risk
Alberta,Employed,Debt consolidation,Rent,61314.09,22945.27,0.1934,679.0,0.2976,1,3,2.9,13.4,59.4,2,0.3742250761611238,0,0,0,1,0,0,0.037776626885838493,High Risk
British Columbia,Employed,Debt consolidation,Mortgage,73866.73,30963.13,0.5571,573.0,0.3613,2,3,60.4,5.7,57.1,5,0.4191755882519776,1,1,0,0,0,0,0.0426562232318084,High Risk
Alberta,Employed,Education,Rent,99530.63,33341.64,0.342,806.0,0.3033,1,1,5.9,0.7,11.4,4,0.33498873663313494,0,0,0,1,1,0,0.037144714267517434,High Risk
Quebec,Employed,Education,Rent,101638.54,19816.46,0.3607,592.0,0.3182,1,1,1.1,3.0,122.4,9,0.19496993955245717,0,1,0,1,0,0,0.059222781850483484,Very High Risk
Ontario,Unemployed,Auto,Own,84737.65,23794.68,0.0605,750.0,0.446,0,0,49.3,11.9,44.8,9,0.2808041053770078,0,0,0,0,0,0,0.0029552510040000038,Very Low Risk
Alberta,Unemployed,Home improvement,Rent,86507.0,22267.8,0.3575,631.0,0.2422,0,4,26.8,0.5,24.7,10,0.25741038297478813,0,0,0,0,1,0,0.09261569181060136,Very High Risk
Ontario,Self-employed,Auto,Own,65451.27,16382.42,0.3728,651.0,0.3427,1,4,4.2,0.7,48.4,1,0.25029949762624926,0,0,0,1,1,0,0.03658067899135665,High Risk
Ontario,Employed,Debt consolidation,Rent,78029.59,30839.5,0.5077,719.0,0.5628,0,1,5.4,4.9,5.8,6,0.39522827173640157,1,0,0,1,0,0,0.06618208861077067,Very High Risk
Quebec,Employed,Auto,Rent,65366.0,19484.32,0.4083,616.0,0.6487,2,1,12.5,0.7,60.7,5,0.29808034758131136,0,1,0,0,1,1,0.1757105584370312,Very High Risk
Quebec,Employed,Debt consolidation,Rent,98228.2,28726.42,0.2746,604.0,0.5867,0,2,5.2,0.3,98.8,13,0.29244575386701577,0,1,0,1,1,0,0.09990466261201583,Very High Risk
Ontario,Employed,Debt consolidation,Mortgage,115610.93,23582.22,0.6918,713.0,0.2627,3,2,38.0,1.6,26.9,7,0.2039791566420234,1,0,0,0,1,0,0.06703066337128365,Very High Risk
Other,Employed,Debt consolidation,Rent,,18964.12,0.3962,585.0,0.2565,2,3,9.9,3.7,54.8,6,,0,1,0,1,0,1,0.1148348167088797,Very High Risk
Ontario,Employed,Auto,Mortgage,54610.29,19933.37,0.7029,668.0,0.3941,1,2,44.5,8.4,39.4,7,0.36501124604905044,1,0,0,0,0,0,0.02168881977817575,Medium Risk
Alberta,Employed,Home improvement,Rent,99517.9,24585.99,0.0735,756.0,0.6781,1,3,7.0,0.0,71.6,3,0.24705093254580335,0,0,0,1,1,0,0.05607703654406937,Very High Risk
Ontario,Part-time,Debt consolidation,Mortgage,85955.66,15457.65,0.1248,850.0,0.0524,3,2,11.4,6.3,41.1,10,0.17983283474293604,0,0,0,1,0,0,0.007683089134217254,Very Low Risk
Alberta,Employed,Home improvement,Rent,69975.91,18952.81,0.2637,683.0,0.0402,2,2,41.6,1.9,150.0,3,0.2708476388517134,0,0,0,0,1,0,0.013042788315956368,Low Risk
Ontario,Employed,Home improvement,Other,80719.97,26981.89,0.4831,629.0,0.1439,3,1,46.0,2.6,75.1,7,0.3342653620906945,1,0,0,0,0,0,0.028781277729984765,Medium Risk
Alberta,Self-employed,Debt consolidation,Rent,108628.03,85000.0,0.5099,620.0,0.1292,1,1,2.0,14.8,132.6,7,0.78248680382034,1,0,0,1,0,0,0.08044534995887677,Very High Risk
Alberta,Employed,Debt consolidation,Own,,30664.41,0.2343,679.0,0.3771,1,1,66.0,1.2,62.4,5,,0,0,0,0,1,0,0.009705860424864163,Very Low Risk
Ontario,Employed,Home improvement,Mortgage,98324.76,32669.59,0.1913,586.0,0.5416,0,0,22.4,4.3,69.5,6,0.33226208739283986,0,1,0,0,0,0,0.016499006885348243,Low Risk
Alberta,Employed,Auto,Own,61787.9,20203.84,0.0791,659.0,0.3028,0,1,53.1,8.5,31.1,10,0.32698699907263395,0,0,0,0,0,0,0.0031027136995176543,Very Low Risk
Quebec,Part-time,Debt consolidation,Rent,58548.8,23320.65,0.471,790.0,0.347,1,0,4.1,5.0,17.8,4,0.39831132320389145,1,0,0,1,0,0,0.044014395336413235,High Risk
Ontario,Employed,Personal,Own,60321.42,12912.31,0.2677,570.0,0.3116,3,7,3.9,3.0,31.3,8,0.21405845552044364,0,1,0,1,0,0,0.1271146514079218,Very High Risk
Quebec,Part-time,Personal,Other,82946.52,32656.3,0.1622,581.0,0.2389,0,2,37.0,4.4,57.2,4,0.3937030751862766,0,1,0,0,0,0,0.015430842559402656,Low Risk
Quebec,Employed,Education,Rent,44438.49,22040.96,0.2766,784.0,0.4013,0,3,,3.5,25.6,8,0.4959880499989986,0,0,0,0,0,0,0.02594582554594253,Medium Risk
Alberta,Employed,Education,Mortgage,119663.33,32570.97,0.4248,660.0,0.6105,1,3,2.8,6.1,20.2,6,0.27218839723079746,0,0,0,1,0,0,0.10558533063413794,Very High Risk
British Columbia,Unemployed,Education,Mortgage,63407.69,49974.8,0.1511,620.0,0.1484,0,0,13.1,9.7,29.7,7,0.7881504593528009,0,0,0,0,0,0,0.012073990499841486,Low Risk
Quebec,Employed,Auto,Own,44010.1,43321.15,0.2672,625.0,0.4651,1,3,37.9,11.5,6.4,6,0.9843456388419931,0,0,0,0,0,0,0.016893212614013504,Low Risk
Ontario,Part-time,Debt consolidation,Own,79344.47,16914.33,0.2345,622.0,0.4769,0,0,73.3,8.6,73.3,5,0.21317591509528014,0,0,0,0,0,0,0.0027345493201175173,Very Low Risk
Quebec,Part-time,Debt consolidation,Other,46369.3,18543.64,0.3797,655.0,0.2259,1,2,13.2,3.7,195.8,6,0.39991201074849086,0,0,0,0,0,0,0.034681155097763726,High Risk
Alberta,Self-employed,Debt consolidation,Own,33044.29,25023.01,0.1529,793.0,0.3388,1,1,4.8,2.7,11.6,8,0.7572567000229086,0,0,0,1,0,0,0.011327929671452255,Low Risk
British Columbia,Employed,Debt consolidation,Rent,74913.27,85000.0,0.3366,602.0,0.8292,0,3,10.2,1.9,93.5,9,1.1346454373170467,0,1,1,1,1,0,0.10136167769693558,Very High Risk
British Columbia,Employed,Debt consolidation,Mortgage,92008.94,22301.93,0.1234,789.0,0.445,1,2,24.2,2.1,31.0,6,0.24238872874744563,0,0,0,0,0,0,0.0120311718333784,Low Risk
Ontario,Employed,Auto,Rent,51860.58,26070.43,0.6239,757.0,0.6861,2,4,16.7,1.1,38.9,10,0.5027022451349368,1,0,0,0,1,0,0.1931521534800135,Very High Risk
British Columbia,Employed,Debt consolidation,Rent,58056.49,19957.91,0.1148,574.0,0.8541,1,3,14.5,7.7,91.0,5,0.34376707927055183,0,1,1,0,0,0,0.059557097342401874,Very High Risk
British Columbia,Self-employed,Debt consolidation,Mortgage,44397.48,36863.34,0.0872,849.0,0.6549,1,2,11.4,5.4,30.0,1,0.8303025306841738,0,0,0,1,0,0,0.009379121694276822,Very Low Risk
Ontario,Employed,Debt consolidation,Rent,49240.64,13508.98,0.2485,729.0,0.2641,1,2,33.3,13.5,3.0,10,0.27434614984695566,0,0,0,0,0,0,0.010494754915423588,Low Risk
Alberta,Employed,Auto,Mortgage,99054.23,33874.96,0.6025,716.0,0.1473,0,0,44.2,2.5,71.2,4,0.34198398190566925,1,0,0,0,0,0,0.01004813672292797,Low Risk
Quebec,Employed,Debt consolidation,Mortgage,110548.03,24097.68,0.4438,,0.5754,0,1,8.5,16.3,10.7,6,0.2179838030582725,0,0,0,1,0,0,0.025676339837207757,Medium Risk
Ontario,Employed,Debt consolidation,Rent,108357.99,40560.28,0.2217,718.0,0.3034,2,1,3.9,0.4,5.2,7,0.37431738997742575,0,0,0,1,1,0,0.05709734245326358,Very High Risk
Other,Employed,Debt consolidation,Rent,157453.33,25875.2,0.2563,655.0,0.3501,0,0,11.5,3.6,35.3,6,0.16433567965822002,0,0,0,1,0,0,0.024114165260718617,Medium Risk
Quebec,Employed,Personal,Mortgage,57720.77,19186.47,0.1304,606.0,0.1506,0,1,11.8,9.2,30.8,7,0.3324014908325028,0,1,0,1,0,0,0.006543696930600289,Very Low Risk
Quebec,Employed,Personal,Mortgage,128131.49,35489.01,0.632,700.0,0.6566,4,4,7.2,6.9,43.6,9,0.27697336540767614,1,0,0,1,0,0,0.2868772256180246,Very High Risk
Ontario,Unemployed,Auto,Rent,88741.99,34170.9,0.5832,587.0,0.7104,1,2,31.7,8.2,34.7,2,0.385058978280744,1,1,1,0,0,0,0.14598877098019547,Very High Risk
Alberta,Employed,Debt consolidation,Mortgage,111675.04,24804.53,0.3103,677.0,0.639,0,2,11.4,0.1,34.8,5,0.22211346420829578,0,0,0,1,1,0,0.05825297114757987,Very High Risk
British Columbia,Self-employed,Debt consolidation,Mortgage,94609.29,25107.74,0.3927,670.0,0.375,1,0,14.4,0.6,38.0,5,0.2653834523015658,0,0,0,0,1,0,0.025190953388756755,Medium Risk
Ontario,Self-employed,Home improvement,Rent,,14667.49,0.362,680.0,0.4158,0,3,17.9,2.3,4.9,4,,0,0,0,0,0,1,0.026553291847502103,Medium Risk
British Columbia,Part-time,Auto,Rent,78011.52,10943.44,0.2269,593.0,0.3912,3,2,29.1,15.3,96.3,6,0.14027979457392958,0,1,0,0,0,0,0.028727815690365165,Medium Risk
Ontario,Employed,Education,Own,51655.44,54968.03,0.2879,670.0,0.6647,1,1,6.8,0.2,112.0,11,1.0641285796810558,0,0,0,1,1,0,0.030581577174061524,High Risk
Other,Employed,Debt consolidation,Rent,83185.52,35818.73,0.3929,728.0,0.4345,1,4,35.0,0.3,3.0,5,0.430588520694467,0,0,0,0,1,0,0.08520093082312725,Very High Risk
Other,Employed,Auto,Own,79455.34,20455.89,0.2472,560.0,0.1071,1,0,11.1,1.1,24.3,10,0.2574514186208252,0,1,0,1,1,0,0.018080298908352523,Medium Risk
Alberta,Employed,Auto,Mortgage,42089.16,43004.94,0.2069,691.0,0.0892,1,3,6.4,7.0,60.9,3,1.021758096383962,0,0,0,1,0,1,0.011729607539637983,Low Risk
Ontario,Employed,Home improvement,Own,30050.16,17972.66,0.1368,689.0,0.3598,0,1,26.3,12.9,100.2,2,0.5980886624230952,0,0,0,0,0,0,0.0024464169222121997,Very Low Risk
British Columbia,Employed,Auto,Own,108320.67,21637.57,0.2687,688.0,0.4528,1,0,47.7,5.1,83.0,4,0.19975476518008983,0,0,0,0,0,0,0.004571343189163088,Very Low Risk
British Columbia,Employed,Auto,Rent,85132.23,42943.29,0.6362,651.0,0.5785,0,4,7.8,3.2,24.6,7,0.5044304607080069,1,0,0,1,0,0,0.1363118232444706,Very High Risk
Ontario,Employed,Auto,Own,65871.02,26424.35,0.2573,728.0,0.5916,0,1,7.7,15.6,121.2,7,0.40115288938899074,0,0,0,1,0,0,0.005995880156378717,Very Low Risk
Ontario,Employed,Personal,Other,61651.24,18468.27,0.4734,761.0,0.3698,1,0,21.1,0.2,89.8,4,0.29956039813635543,1,0,0,0,1,0,0.019155327129137905,Medium Risk
Alberta,Unemployed,Debt consolidation,Mortgage,95797.27,12366.65,0.7065,549.0,0.5554,0,0,3.4,1.7,117.5,10,0.1290918833073218,1,1,0,1,1,1,0.22919121700053816,Very High Risk
Alberta,Part-time,Debt consolidation,Rent,91981.35,29086.97,0.1542,659.0,0.7684,0,2,16.1,0.4,176.2,8,0.3162268220677344,0,0,1,0,1,0,0.04294035477666567,High Risk
British Columbia,Employed,Home improvement,Mortgage,76495.44,42920.59,0.2576,661.0,0.4382,1,1,10.0,8.4,57.4,10,0.5610869092327594,0,0,0,1,0,0,0.013321215963632173,Low Risk
Quebec,Part-time,Personal,Own,61752.28,21684.01,0.2574,682.0,0.6653,0,1,19.5,4.6,39.8,8,0.35114509132294386,0,0,0,0,0,0,0.019678641051156028,Medium Risk
Quebec,Employed,Auto,Mortgage,69275.56,16726.52,0.636,622.0,0.2155,0,0,11.1,0.1,30.2,5,0.24144907670179788,1,0,0,1,1,0,0.030371374316788914,High Risk
Ontario,Employed,Home improvement,Rent,38523.01,13650.85,0.3744,651.0,0.4429,0,0,56.6,0.8,53.2,7,0.3543557473831873,0,0,0,0,1,0,0.0072263799213749536,Very Low Risk
Other,Employed,Debt consolidation,Rent,,20050.82,0.5509,713.0,0.1671,1,1,1.3,12.1,72.4,8,,1,0,0,1,0,0,0.03463753614873296,High Risk
Ontario,Part-time,Auto,Mortgage,29268.33,18161.42,0.1762,603.0,0.2407,0,8,9.1,7.0,51.9,5,0.6205143921774832,0,1,0,1,0,0,0.02595140732405709,Medium Risk
Alberta,Unemployed,Personal,Rent,61591.19,37403.09,0.4018,595.0,0.1194,0,0,45.8,0.0,3.0,4,0.6072798723323903,0,1,0,0,1,0,0.032499552995153565,High Risk
Ontario,Employed,Debt consolidation,Own,78000.75,22440.42,0.0988,656.0,0.3866,0,5,55.1,5.7,4.5,4,0.2876949260103268,0,0,0,0,0,0,0.009370054212526777,Very Low Risk
British Columbia,Employed,Home improvement,Own,71240.38,16313.66,0.1488,741.0,0.3105,2,0,1.8,1.8,216.5,6,0.22899456740685548,0,0,0,1,1,0,0.005952126756011555,Very Low Risk
Quebec,Self-employed,Education,Rent,81131.53,29059.14,0.4697,754.0,0.1846,1,2,29.0,1.2,37.8,3,0.3581732034389096,1,0,0,0,1,0,0.033046518298822734,High Risk
British Columbia,Employed,Home improvement,Mortgage,61373.17,24950.48,0.3937,682.0,0.1302,0,0,11.2,4.9,3.0,7,0.40653725398248125,0,0,0,1,0,0,0.005419581091240438,Very Low Risk
British Columbia,Employed,Home improvement,Rent,36536.46,24257.24,0.545,703.0,0.6892,1,1,21.2,6.5,63.4,7,0.6639187266637218,1,0,0,0,0,0,0.04342834273947231,High Risk
Ontario,Employed,Debt consolidation,Rent,92383.41,25523.19,0.0639,711.0,0.3069,0,2,31.9,0.5,239.4,3,0.27627460384932745,0,0,0,0,1,0,0.007446627217089478,Very Low Risk
Ontario,Unemployed,Debt consolidation,Mortgage,94855.96,12970.91,0.1987,610.0,0.4791,1,0,5.2,2.6,76.0,6,0.13674322625589366,0,1,0,1,0,0,0.05418718499908113,Very High Risk
Ontario,Employed,Auto,Rent,129576.83,24351.98,0.3673,626.0,0.5301,0,1,58.4,4.7,4.8,1,0.18793467937130426,0,0,0,0,0,0,0.013188006782835715,Low Risk
Ontario,Part-time,Home improvement,Own,63173.64,64788.69,0.5037,734.0,0.9442,1,0,4.0,5.5,32.3,7,1.0255652515827804,1,0,1,1,0,0,0.03971880500872356,High Risk
British Columbia,Part-time,Personal,Mortgage,173986.45,44111.48,0.0619,651.0,0.5967,1,1,19.9,0.7,3.0,7,0.2535339964692653,0,0,0,0,1,0,0.023625341461807465,Medium Risk
Ontario,Employed,Debt consolidation,Rent,65393.03,24817.76,0.3251,459.0,0.3417,3,1,15.6,7.8,195.2,8,0.37951689958394647,0,1,0,0,0,0,0.10909550836039072,Very High Risk
Ontario,Employed,Home improvement,Rent,96592.76,22968.09,0.7264,606.0,0.2,0,1,11.7,9.6,9.0,9,0.23778272822932073,1,1,0,1,0,0,0.03919015364578154,High Risk
Ontario,Employed,Education,Other,70139.82,13662.46,0.4155,658.0,0.811,1,3,23.2,6.8,135.7,4,0.19478892303972262,0,0,1,0,0,0,0.03640467968057132,High Risk
Quebec,Employed,Auto,Rent,73824.6,34911.36,0.1771,754.0,0.6647,0,0,11.5,6.9,10.4,8,0.47289602652774276,0,0,0,1,0,0,0.01968206595259055,Medium Risk
Alberta,Self-employed,Home improvement,Rent,131105.36,23513.53,0.3918,690.0,0.441,1,1,4.8,8.0,126.5,8,0.17934835005982974,0,0,0,1,0,0,0.03009239541486028,High Risk
Quebec,Employed,Debt consolidation,Mortgage,36428.75,33896.97,0.5167,706.0,0.2936,1,2,60.8,2.4,3.0,3,0.9305004975465807,1,0,0,0,0,0,0.014666531071339771,Low Risk
British Columbia,Unemployed,Debt consolidation,Rent,64683.58,22327.74,0.3923,648.0,0.1703,0,2,12.3,1.2,73.9,7,0.3451840482545957,0,0,0,0,1,0,0.057228381980629614,Very High Risk
Ontario,Employed,Debt consolidation,Mortgage,45918.14,18187.55,0.3793,712.0,0.5597,0,2,8.8,2.1,70.8,3,0.39608638328991547,0,0,0,1,0,0,0.024913823876698372,Medium Risk
Ontario,Employed,Debt consolidation,Own,61526.76,14483.11,0.0518,684.0,0.7365,1,3,96.0,5.8,8.0,3,0.23539529791589872,0,0,1,0,0,0,0.002329728438132582,Very Low Risk
Quebec,Part-time,Education,Mortgage,67135.84,38625.79,0.452,677.0,0.3169,1,1,4.3,4.7,10.5,5,0.5753378523304393,1,0,0,1,0,0,0.046870825512918844,High Risk
Alberta,Employed,Debt consolidation,Rent,56670.64,40907.0,0.1481,637.0,0.223,0,0,1.7,7.9,40.3,8,0.7218376217385228,0,0,0,1,0,0,0.020363132538030182,Medium Risk
Ontario,Employed,Debt consolidation,Other,53688.36,27534.34,0.4006,574.0,0.5201,1,3,0.1,9.0,70.7,12,0.5128549279583134,0,1,0,1,0,0,0.1038757052081479,Very High Risk
British Columbia,Employed,Auto,Other,88248.96,16087.94,0.2212,719.0,0.7043,2,2,49.2,7.2,29.1,2,0.1823017517713523,0,0,1,0,0,0,0.009795057972924409,Very Low Risk
British Columbia,Part-time,Home improvement,Rent,94175.29,26794.37,0.1762,642.0,0.6151,2,5,11.8,14.8,52.8,5,0.28451592769186057,0,0,0,1,0,0,0.05503414150821498,Very High Risk
Ontario,Employed,Auto,Rent,76839.56,85000.0,0.1915,633.0,0.4845,1,0,2.4,0.6,55.4,9,1.1062010245764031,0,0,0,1,1,0,0.05809973691772594,Very High Risk
Ontario,Employed,Personal,Own,99061.2,24357.14,0.3093,738.0,0.4527,1,2,6.4,7.8,62.5,8,0.2458797188000953,0,0,0,1,0,0,0.012777555962802145,Low Risk
Ontario,Employed,Personal,Rent,80213.97,38125.28,0.3967,601.0,0.3561,0,1,23.3,13.5,42.9,2,0.47529476473985766,0,1,0,0,0,0,0.019495966687949177,Medium Risk
Other,Employed,Auto,Mortgage,90434.74,21539.9,0.1798,658.0,0.8787,0,4,6.8,7.5,7.4,9,0.238181698758685,0,0,1,1,0,0,0.03255518428155601,High Risk
Ontario,Employed,Debt consolidation,Rent,71533.92,17185.93,0.2278,660.0,0.0447,1,1,23.3,0.3,3.0,4,0.24024868202385666,0,0,0,0,1,0,0.01931492558135247,Medium Risk
Quebec,Employed,Debt consolidation,Mortgage,,14387.02,0.3004,573.0,0.5179,0,1,8.7,6.8,3.0,8,,0,1,0,1,0,0,0.03704831927720744,High Risk
Quebec,Part-time,Auto,Mortgage,118353.8,66942.5,0.3419,625.0,0.2628,0,2,11.3,6.9,13.8,4,0.5656134403796076,0,0,0,1,0,0,0.03337711580232354,High Risk
Quebec,Employed,Debt consolidation,Own,78517.66,31150.99,0.5652,761.0,0.579,1,3,28.2,2.6,24.5,7,0.3967386445291416,1,0,0,0,0,0,0.08162913706292732,Very High Risk
Other,Unemployed,Home improvement,Own,72232.68,63876.34,0.4676,649.0,0.5367,3,1,15.2,8.5,65.3,10,0.8843135821625336,1,0,0,0,0,0,0.20397520327205176,Very High Risk
British Columbia,Part-time,Personal,Mortgage,70053.17,63672.1,0.1382,562.0,0.7812,1,0,27.3,4.7,5.6,6,0.9089110457099943,0,1,1,0,0,0,0.02002252954410485,Medium Risk
Quebec,Employed,Home improvement,Rent,136997.72,73447.71,0.3451,701.0,0.2318,1,1,18.3,5.7,68.2,2,0.5361235938817085,0,0,0,0,0,0,0.04474250613677326,High Risk
Alberta,Employed,Auto,Mortgage,110382.04,22881.45,0.3128,674.0,0.3109,2,2,29.8,5.9,23.7,3,0.2072932335731429,0,0,0,0,0,0,0.028912784701211926,Medium Risk
Quebec,Employed,Auto,Rent,38589.06,40871.77,0.1186,815.0,0.3636,0,1,8.9,0.5,9.4,1,1.059154330268734,0,0,0,1,1,0,0.009367016512782328,Very Low Risk
Alberta,Employed,Personal,Mortgage,64555.27,21995.25,0.2022,701.0,0.7349,1,1,6.8,5.0,99.8,6,0.34071966548974236,0,0,1,1,0,1,0.014781150190234734,Low Risk
British Columbia,Employed,Debt consolidation,Other,87377.76,37821.47,0.2139,660.0,0.1874,0,0,9.8,0.2,54.0,6,0.4328500753509818,0,0,0,1,1,0,0.01331933459471269,Low Risk
Ontario,Part-time,Auto,Own,70272.41,29974.09,0.2873,671.0,0.5584,1,2,4.5,1.9,24.6,6,0.4265413695076062,0,0,0,1,1,0,0.037900466629292154,High Risk
Alberta,Employed,Debt consolidation,Rent,85667.7,27431.1,0.1981,637.0,0.1952,1,1,37.2,8.3,9.6,6,0.32020353061889134,0,0,0,0,0,0,0.020815620418951408,Medium Risk
Alberta,Part-time,Auto,Other,37867.93,24217.1,0.4351,702.0,0.0894,2,1,18.8,0.7,27.9,4,0.6395147556256705,0,0,0,0,1,0,0.03414548800840082,High Risk
Alberta,Employed,Auto,Own,46387.25,29077.29,0.441,793.0,0.1255,1,3,18.1,5.8,18.1,4,0.6268379781082086,0,0,0,0,0,0,0.015440588281041554,Low Risk
Ontario,Employed,Debt consolidation,Own,45277.74,24688.7,0.2434,693.0,0.2829,1,2,7.3,15.5,46.1,5,0.5452723567916596,0,0,0,1,0,0,0.009353351838537754,Very Low Risk
British Columbia,Employed,Debt consolidation,Own,110151.76,26721.01,0.3559,751.0,0.4875,0,1,24.6,8.8,18.9,7,0.2425835955775922,0,0,0,0,0,0,0.010304556486418532,Low Risk
British Columbia,Employed,Education,Mortgage,68584.21,17030.14,0.2704,756.0,0.2356,0,0,51.3,0.2,44.6,8,0.2483099243980502,0,0,0,0,1,0,0.0021639080956551205,Very Low Risk
Quebec,Employed,Home improvement,Rent,55871.71,13313.49,0.3715,744.0,0.4987,0,4,22.9,3.8,16.7,4,0.23828678234476805,0,0,0,0,0,0,0.04068042130655182,High Risk
Ontario,Unemployed,Debt consolidation,Mortgage,52793.99,27083.82,0.2214,804.0,0.4761,0,2,11.3,3.6,107.6,8,0.5130095300620393,0,0,0,1,0,0,0.017536992691058604,Low Risk
Ontario,Unemployed,Education,Other,134753.73,29870.91,0.1616,726.0,0.1774,1,3,32.5,3.7,105.8,6,0.22167037602595488,0,0,0,0,0,0,0.020425582754638034,Medium Risk
Ontario,Employed,Debt consolidation,Rent,83959.8,11873.05,0.5742,765.0,0.6308,0,1,15.7,7.7,30.7,6,0.141413509798737,1,0,0,0,0,0,0.050419524841181056,High Risk
Quebec,Self-employed,Debt consolidation,Rent,51854.87,33724.13,0.1978,809.0,0.243,1,1,2.7,0.1,4.6,4,0.650356080345009,0,0,0,1,1,0,0.02270283378825775,Medium Risk
Ontario,Unemployed,Personal,Mortgage,41128.31,30397.92,0.1927,475.0,0.3859,0,2,28.8,0.4,39.5,2,0.7390996615226835,0,1,0,0,1,0,0.04238624853561032,High Risk
Quebec,Employed,Auto,Mortgage,67136.21,15233.82,0.6456,706.0,0.5148,0,1,10.3,5.0,14.9,5,0.2269091448564046,1,0,0,1,0,0,0.039607986871335654,High Risk
Alberta,Employed,Debt consolidation,Mortgage,77635.39,9575.15,0.2083,824.0,0.3165,0,3,24.6,,3.0,12,0.12333486055779458,0,0,0,0,0,0,0.012029023946965605,Low Risk
Alberta,Part-time,Debt consolidation,Rent,70318.54,37207.94,0.3359,728.0,0.6004,2,1,52.0,0.4,19.8,4,0.5291341373128624,0,0,0,0,1,0,0.059926041665804834,Very High Risk
Alberta,Unemployed,Debt consolidation,Rent,126163.84,16883.89,0.3095,743.0,0.4907,0,2,28.2,8.7,13.5,4,0.13382511185455356,0,0,0,0,0,0,0.05513161306125285,Very High Risk
Ontario,Employed,Debt consolidation,Rent,73649.72,24618.06,0.3642,592.0,0.7771,1,2,26.6,4.1,70.7,3,0.3342587045816332,0,1,1,0,0,0,0.06969015701350006,Very High Risk
Ontario,Employed,Auto,Mortgage,75483.08,18255.37,0.2211,747.0,0.6304,1,2,30.7,9.5,16.9,9,0.24184717952685553,0,0,0,0,0,0,0.012267504119582499,Low Risk
